AutoGen-Portfolio-INTC,2010-09-21 12:18:00.000,2010-09-21 12:18:10.000,19.07,19.07,19.06,19.06,6570
EntirePortfolio,2010-09-21 12:18:00.000,2010-09-21 12:18:10.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:18:10.000,2010-09-21 12:18:20.000,19.06,19.07,19.06,19.07,11405
AutoGen-Portfolio-INTC,2010-09-21 12:18:10.000,2010-09-21 12:18:20.000,19.06,19.07,19.06,19.07,11405
EntirePortfolio,2010-09-21 12:18:10.000,2010-09-21 12:18:20.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:18:20.000,2010-09-21 12:18:30.000,19.07,19.08,19.07,19.08,18131
AutoGen-Portfolio-INTC,2010-09-21 12:18:20.000,2010-09-21 12:18:30.000,19.07,19.08,19.07,19.08,18131
EntirePortfolio,2010-09-21 12:18:20.000,2010-09-21 12:18:30.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:18:30.000,2010-09-21 12:18:40.000,19.07,19.08,19.07,19.08,9561
AutoGen-Portfolio-INTC,2010-09-21 12:18:30.000,2010-09-21 12:18:40.000,19.07,19.08,19.07,19.08,9561
EntirePortfolio,2010-09-21 12:18:30.000,2010-09-21 12:18:40.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:18:40.000,2010-09-21 12:18:50.000,19.08,19.08,19.07,19.08,2030
AutoGen-Portfolio-INTC,2010-09-21 12:18:40.000,2010-09-21 12:18:50.000,19.08,19.08,19.07,19.08,2030
EntirePortfolio,2010-09-21 12:18:40.000,2010-09-21 12:18:50.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:18:50.000,2010-09-21 12:19:00.000,19.07,19.08,19.07,19.08,2350
AutoGen-Portfolio-INTC,2010-09-21 12:18:50.000,2010-09-21 12:19:00.000,19.07,19.08,19.07,19.08,2350
EntirePortfolio,2010-09-21 12:18:50.000,2010-09-21 12:19:00.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:19:00.000,2010-09-21 12:19:10.000,19.07,19.07,19.07,19.07,2047
AutoGen-Portfolio-INTC,2010-09-21 12:19:00.000,2010-09-21 12:19:10.000,19.07,19.07,19.07,19.07,2047
EntirePortfolio,2010-09-21 12:19:00.000,2010-09-21 12:19:10.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:19:10.000,2010-09-21 12:19:20.000,19.08,19.08,19.07,19.07,7500
AutoGen-Portfolio-INTC,2010-09-21 12:19:10.000,2010-09-21 12:19:20.000,19.08,19.08,19.07,19.07,7500
EntirePortfolio,2010-09-21 12:19:10.000,2010-09-21 12:19:20.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:19:20.000,2010-09-21 12:19:30.000,19.07,19.08,19.07,19.08,2900
AutoGen-Portfolio-INTC,2010-09-21 12:19:20.000,2010-09-21 12:19:30.000,19.07,19.08,19.07,19.08,2900
EntirePortfolio,2010-09-21 12:19:20.000,2010-09-21 12:19:30.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:19:30.000,2010-09-21 12:19:40.000,19.08,19.08,19.07,19.07,2007
AutoGen-Portfolio-INTC,2010-09-21 12:19:30.000,2010-09-21 12:19:40.000,19.08,19.08,19.07,19.07,2007
EntirePortfolio,2010-09-21 12:19:30.000,2010-09-21 12:19:40.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:19:40.000,2010-09-21 12:19:50.000,19.07,19.07,19.07,19.07,2407
AutoGen-Portfolio-INTC,2010-09-21 12:19:40.000,2010-09-21 12:19:50.000,19.07,19.07,19.07,19.07,2407
EntirePortfolio,2010-09-21 12:19:40.000,2010-09-21 12:19:50.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:19:50.000,2010-09-21 12:20:00.000,19.06,19.08,19.06,19.08,3196
AutoGen-Portfolio-INTC,2010-09-21 12:19:50.000,2010-09-21 12:20:00.000,19.06,19.08,19.06,19.08,3196
EntirePortfolio,2010-09-21 12:19:50.000,2010-09-21 12:20:00.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:20:00.000,2010-09-21 12:20:10.000,19.08,19.08,19.07,19.07,1696
AutoGen-Portfolio-INTC,2010-09-21 12:20:00.000,2010-09-21 12:20:10.000,19.08,19.08,19.07,19.07,1696
EntirePortfolio,2010-09-21 12:20:00.000,2010-09-21 12:20:10.000,100,100,100,100,0
APX_Master_INTC,2010-09-21 12:20:10.000,2010-09-21 12:20:20.000,19.07,19.08,19.07,19.07,2878
AutoGen-Portfolio-INTC,2010-09-21 12:20:10.000,2010-09-21 12:20:20.000,19.07,19.08,19.07,19.07,2878
EntirePortfolio,2010-09-21 12:20:10.000,2010-09-21 12:20:20.000,100,100,100,100,0
