Limit Order,2009-06-09 10:08:15.628,97.563,97.592,97.429,97.434
Limit Order,2009-06-09 10:36:30.356,97.4085,97.495,97.405,97.4445
Limit Order,2009-06-09 10:58:08.355,97.4435,97.592,97.44,97.5565
Limit Order,2009-06-09 11:22:55.883,97.5575,97.607,97.539,97.5865
Limit Order,2009-06-09 11:37:28.309,97.572,97.642,97.562,97.567
Limit Order,2009-06-09 11:48:54.269,97.549,97.645,97.544,97.641
Limit Order,2009-06-09 11:58:16.059,97.6425,97.643,97.548,97.5845
Limit Order,2009-06-09 12:08:35.238,97.5835,97.595,97.552,97.5895
Limit Order,2009-06-09 12:17:54.794,97.5835,97.589,97.499,97.506
Limit Order,2009-06-09 12:26:56.865,97.507,97.535,97.465,97.511
Limit Order,2009-06-09 12:37:25.763,97.513,97.571,97.503,97.5415
Limit Order,2009-06-09 12:46:32.397,97.538,97.572,97.497,97.549
Limit Order,2009-06-09 12:56:37.686,97.5465,97.577,97.53,97.554
Limit Order,2009-06-09 13:04:45.836,97.549,97.726,97.544,97.7135
Limit Order,2009-06-09 13:16:35.874,97.715,97.719,97.622,97.627
Limit Order,2009-06-09 13:24:58.399,97.6195,97.648,97.587,97.641
Limit Order,2009-06-09 13:33:17.611,97.641,97.647,97.6,97.614
Limit Order,2009-06-09 13:42:46.229,97.619,97.629,97.56,97.566
Limit Order,2009-06-09 13:50:14.160,97.5845,97.678,97.579,97.6335
Limit Order,2009-06-09 14:02:10.089,97.633,97.649,97.623,97.632
Limit Order,2009-06-09 14:11:57.581,97.604,97.667,97.561,97.567
Limit Order,2009-06-09 14:22:46.151,97.5605,97.565,97.263,97.272
Limit Order,2009-06-09 14:39:50.325,97.273,97.347,97.262,97.315
Limit Order,2009-06-09 14:50:14.614,97.317,97.46,97.311,97.419
Limit Order,2009-06-09 15:00:59.559,97.359,97.392,97.35,97.361
Limit Order,2009-06-09 15:08:21.272,97.361,97.381,97.352,97.366
Limit Order,2009-06-09 15:16:47.594,97.3675,97.444,97.363,97.439
Limit Order,2009-06-09 15:24:43.900,97.429,97.442,97.39,97.4315
Limit Order,2009-06-09 15:31:35.426,97.433,97.442,97.359,97.373
Limit Order,2009-06-09 15:40:57.825,97.3765,97.438,97.371,97.424
Limit Order,2009-06-09 15:49:52.443,97.432,97.453,97.369,97.3765
Limit Order,2009-06-09 15:58:56.499,97.3785,97.397,97.368,97.382
Limit Order,2009-06-09 16:09:05.022,97.3845,97.441,97.372,97.4345
Limit Order,2009-06-09 16:16:37.110,97.428,97.44,97.397,97.4075
Limit Order,2009-06-09 16:25:53.306,97.4005,97.419,97.377,97.3905
Limit Order,2009-06-09 16:35:02.065,97.3915,97.403,97.365,97.393
Limit Order,2009-06-09 16:47:27.712,97.3945,97.427,97.373,97.4055
Limit Order,2009-06-09 16:57:32.642,97.403,97.42,97.333,97.3395
Limit Order,2009-06-09 17:04:36.292,97.34,97.4,97.33,97.3915
Limit Order,2009-06-09 17:34:03.567,97.4,97.421,97.391,97.3995
Limit Order,2009-06-09 18:04:27.356,97.3945,97.405,97.363,97.3685
Limit Order,2009-06-09 18:16:10.487,97.357,97.466,97.354,97.436
Limit Order,2009-06-09 18:26:29.792,97.437,97.455,97.425,97.4415
Limit Order,2009-06-09 18:36:25.758,97.4385,97.447,97.38,97.403
Limit Order,2009-06-09 18:48:58.781,97.405,97.463,97.401,97.4415
Limit Order,2009-06-09 18:58:05.548,97.4405,97.494,97.433,97.4825
Limit Order,2009-06-09 19:07:44.853,97.478,97.484,97.451,97.4615
Limit Order,2009-06-09 19:19:47.032,97.4725,97.478,97.438,97.454
Limit Order,2009-06-09 19:26:09.027,97.457,97.471,97.449,97.4555
Limit Order,2009-06-09 19:33:18.521,97.4505,97.469,97.436,97.4635
Limit Order,2009-06-09 19:44:17.107,97.461,97.48,97.43,97.4535
