ExampleReversal-EUR/USD,EUR/USD,107,1000000000236,1.40067,10000,2009-06-09 11:13:08.859,2009-06-09 15:13:08.859,2009-06-09 11:14:34.030,3499110825925966
ExampleOrder-EUR/USD,EUR/USD,94,1000000000088,1.40022,0,2009-06-09 11:14:34.030,2009-06-09 15:14:34.030,2009-06-09 11:14:34.030,3499110825925966
ExampleOrder-USD/JPY,USD/JPY,38,1000000000227,97.501,-100000,2009-06-09 11:15:58.091,2009-06-09 15:15:58.091,2009-06-09 11:15:58.091,3499110825933209
ExampleReversal-EUR/USD,EUR/USD,108,1000000000240,1.40019,-10000,2009-06-09 11:14:40.999,2009-06-09 15:14:40.999,2009-06-09 11:15:05.967,3499110825937790
ExampleReversal-EUR/USD,EUR/USD,107,1000000000241,1.4003,10000,2009-06-09 11:15:58.216,2009-06-09 15:15:58.216,2009-06-09 11:16:20.388,3499110825954634
ExampleOrder-EUR/USD,EUR/USD,85,1000000000079,1.40023,-100000,2009-06-09 11:17:08.294,2009-06-09 15:17:08.294,2009-06-09 11:17:08.294,3499110825957558
ExampleOrder-EUR/USD,EUR/USD,99,1000000000211,1.40042,0,2009-06-09 11:17:21.090,2009-06-09 15:17:21.090,2009-06-09 11:17:21.090,3499110825957558
ExampleOrder-USD/JPY,USD/JPY,52,1000000000231,97.52,0,2009-06-09 11:18:00.496,2009-06-09 15:18:00.496,2009-06-09 11:18:00.496,3499110825968542
ExampleOrder-USD/CHF,USD/CHF,179,1000000000173,1.08311,-100000,2009-06-09 11:20:15.713,2009-06-09 15:20:15.713,2009-06-09 11:20:15.713,3499110825989285
ExampleOrder-USD/CHF,USD/CHF,193,1000000000234,1.0833,0,2009-06-09 11:20:15.713,2009-06-09 15:20:15.713,2009-06-09 11:20:15.713,3499110825990041
ExampleReversal-EUR/USD,EUR/USD,108,1000000000243,1.40057,-10000,2009-06-09 11:20:26.963,2009-06-09 15:20:26.963,2009-06-09 11:22:02.837,3499110826003429
ExampleOrder-EUR/USD,EUR/USD,86,1000000000252,1.40081,100000,2009-06-09 11:22:46.274,2009-06-09 15:22:46.274,2009-06-09 11:22:46.274,3499110826005505
ExampleReversal-EUR/USD,EUR/USD,107,1000000000249,1.40085,10000,2009-06-09 11:22:52.758,2009-06-09 15:22:52.758,2009-06-09 11:23:42.960,3499110826018113
ExampleOrder-USD/JPY,USD/JPY,38,1000000000244,97.559,-100000,2009-06-09 11:25:54.334,2009-06-09 15:25:54.334,2009-06-09 11:25:54.334,3499110826038170
ExampleOrder-EUR/USD,EUR/USD,93,1000000000254,1.40282,0,2009-06-09 11:33:06.125,2009-06-09 15:33:06.125,2009-06-09 11:33:06.125,3499110826082901
ExampleOrder-USD/JPY,USD/JPY,47,1000000000258,97.545,0,2009-06-09 11:33:22.437,2009-06-09 15:33:22.437,2009-06-09 11:33:22.437,3499110826083059
ExampleOrder-USD/JPY,USD/JPY,39,1000000000271,97.567,100000,2009-06-09 11:35:23.264,2009-06-09 15:35:23.264,2009-06-09 11:35:23.264,3499110826099572
ExampleOrder-USD/JPY,USD/JPY,46,1000000000273,97.59,0,2009-06-09 11:36:08.466,2009-06-09 15:36:08.466,2009-06-09 11:36:08.466,3499110826104434
